Rank*,School District,Score,Expenditures for Public Elementary and Secondary Schools per Pupil,Income by School District
1,Los Nietos School District,0.03,14525,63516
2,Gen Shafter Elementary School District,0.13,17245,49167
3,Browns Elementary School District,0.17,10664,83942
4,Pajaro Valley Unified School District,0.19,13924,66867
5,Bonita Unified School District,0.27,10602,84202
6,Roseville City Elementary School District,0.28,11104,81921
7,Tracy Joint Unified School District,0.29,10666,84256
8,Anderson Valley Unified School District,0.31,17941,45164
9,San Marcos Unified School District,0.33,11157,81207
10,Val Verde Unified School District,0.38,14085,65607
11,Imperial Unified School District,0.51,10778,83813
12,Twin Ridges Elementary School District,0.54,18845,40192
13,North Monterey County Unified School District,0.55,12794,72355
14,Fountain Valley School District,0.56,9634,89934
15,Sulphur Springs Union School District,0.63,10732,83254
16,Lakeside Union Elementary School District,0.72,10705,83339
17,Wright Elementary School District,0.74,12525,74690
18,Galt Joint Union Elementary School District,0.81,12624,73076
19,Oxnard Union High School District,1,12248,74936
20,Arcohe Union Elementary School District,1.01,10333,86530
21,Covina Valley Unified School District,1.12,12762,72119
22,Lowell Joint Elementary School District,1.28,9853,87475
23,West Covina Unified School District,1.33,10578,83581
24,La Habra City Elementary School District,1.44,12572,74932
25,North Cow Creek Elementary School District,1.44,9402,91786
26,Lone Pine Unified School District,1.48,18443,43750
27,Klamath Trinity Joint Unified School District,1.48,19369,38828
28,Downey Unified School District,1.49,12903,71110
29,Pomona Unified School District,1.55,14936,60261
30,West Contra Costa Unified School District,1.56,12364,73931
31,East Whittier Elementary School District,1.57,10657,82995
32,Pleasant Valley Joint Union School District,1.57,12819,71500
33,Foresthill Union Elementary School District,1.59,11406,79000
34,Dry Creek Joint Elementary School District,1.59,9658,90532
35,Westside Union School District,1.68,9924,89175
36,Orcutt Union School District,1.72,10240,85105
37,Surprise Valley Joint Unified School District,1.76,18000,43824
38,Baker Valley Unified School District,1.8,18755,42321
39,Hornbrook Elementary School District,1.82,18860,39211
40,Rio Elementary School District,1.86,11801,76712
41,Chula Vista Elementary School District,1.88,11672,77384
42,Azusa Unified School District,1.92,14445,65313
43,Ravenswood City Elementary School District,2.07,14202,63797
44,Placer Union High School District,2.15,12206,74350
45,Templeton Unified School District,2.21,10890,84418
46,Junction Elementary School District,2.23,11324,78988
47,Twain Harte School District,2.23,14838,60308
48,Charter Oak Unified School District,2.49,11604,80816
49,Bassett Unified School District,2.55,14625,64803
50,Aromas - San Juan Unified School District,2.59,11084,83654
51,Norwalk La Mirada Unified School District,2.62,13203,72409
52,Muroc Unified School District,2.64,16081,57123
53,Mulberry Elementary School District,2.77,11951,79167
54,Los Alamitos Unified School District,2.78,11235,82981
55,San Benito Joint Union High School District,2.82,11220,83093
56,Cuyama Joint Unified School District,2.92,17112,47734
57,Hayward Unified School District,2.98,12007,79022
58,Big Valley Joint Unified School District,3.1,17741,48625
59,Ojai Unified School District,3.1,12136,74053
60,Igo-Ono-Plantina Union Elementary School District,3.25,19450,39643
61,Fallbrook Union High School District,3.37,14421,61720
62,Mountain Union Elementary School District,3.58,18597,39375
63,Hacienda La Puente Unified School District,3.58,12585,76371
64,Bonsall Unified School District,3.63,9189,94457
65,Hughson Unified School District,3.64,11867,75104
66,Lagunita Elementary School District,3.73,9571,92500
67,Center Unified School District,3.74,12064,73989
68,Clovis Unified School District,3.88,11038,79342
69,Soquel Union Elementary School District,3.9,10433,82546
70,Santa Barbara Unified School District,3.93,11638,76122
71,Janesville Unified Elementary School District,3.94,9491,87526
72,Hollister Elementary School District,3.97,10582,81704
73,Chaffey Union High School District,4.38,12162,73015
74,Napa Valley Unified School District,4.44,11122,84755
75,Elk Grove Unified School District,4.53,11515,76348
76,Golden Valley Unified School District,4.6,10876,79696
77,Lucia Mar Unified School District,4.62,11385,76977
78,Hart Ransom Union Elementary School District,4.66,9322,87917
79,Fairfield-Suisun Joint Unified School District,4.7,10661,80769
80,Sierra Unified School District,4.73,13358,73067
81,John Swett Unified School District,4.75,12686,76655
82,Tustin Unified School District,4.77,10848,86439
83,San Pasqual Valley Unified School District,4.83,21280,24231
84,Abc Unified School District,4.86,11434,76547
85,Santee School District,4.94,10010,84062
86,Hope Elementary School District,4.95,11125,78125
87,Willow Creek Elementary School District,4.97,16750,48214
88,Roseland School District,5.12,16669,55744
89,Wheatland Union High School District,5.32,12018,80606
90,Folsom-Cordova Unified School District,5.56,11232,84957
91,Mt View Elementary School District,5.6,10466,81171
92,Sebastopol Union Elementary School District,5.7,11080,77841
93,Centralia Elementary School District,5.71,11894,73502
94,Wilmar Union Elementary School District,5.79,9393,94896
95,Wiseburn Unified School District,5.8,6428,102500
96,Monrovia Unified School District,5.96,13173,74922
97,Guerneville Elementary School District,5.97,14622,58822
98,Western Placer Unified School District,6.1,10671,79732
99,Antioch Unified School District,6.18,12318,70918
100,South Whittier Elementary School District,6.23,13579,64185
